equipment_id,model_number,description,client_id,plant_code,technical_fault_code,created_at_date,closed_at_date,city,client_sf
10000001,FSEC01600CWDFR0,Airflow Alarm,MUNIK00002,IN02,BO5 -  BLOWER NOT WORKING.,2021-01-23,2021-02-09,MU,NIK
10000001,FSEC01600CWDFR0,Airflow alarm,MUNIK00002,IN02,K06 - BIG CNTRLR INPUT CARD FAILURE,2022-04-20,2022-05-16,MU,NIK
10000064,FSEC03000CWDFR0,,CHNAT00001,IN12,CO1 - COMP. TAKING HIGH AMPHERE.,2023-04-21,2023-04-24,CH,NAT
10000083,FSEC01610DXUPR1,,NOBHA00014,IN07,CO3 - COMP. INTERNAL SOUND.,2021-08-19,,NO,BHA
10000084,FSEC01610DXUPR1,,NOBHA00014,IN07,KO1 - CONTROLLER SCREEN BLANK .,2022-03-24,2022-02-04,NO,BHA
10000091,FSEC07020DXDNR1,,HYBHA00001,IN10,C006 - PAC UNIT HAVING SOUND.,2024-11-02,2024-11-26,HY,BHA
10000322,FSEC03510DXUPR1,,HYHON00001,IN10,CF4  - CDS. FAN INTERNAL SOUND.,2020-01-27,2020-01-29,HY,HON
10000322,FSEC03510DXUPR1,Outdoor fan  motor replacement work,HYHON00001,IN10,CF4  - CDS. FAN INTERNAL SOUND.,2020-02-03,2020-02-03,HY,HON
10000322,FSEC03510DXUPR1,Out door noise complaint,HYCBR00003,IN10,CF6  - CDS. FAN TOUCHING THE GRILL.,2020-02-06,2020-02-10,HY,CBR
10000322,FSEC03510DXUPR1,Outdoor fan guard replacement work,HYHON00001,IN10,CF6  - CDS. FAN TOUCHING THE GRILL.,2020-02-20,2020-03-02,HY,HON
10000349,FSEC02710DXDNR1,Low Pressure Alarm,NOMCG00001,IN07,SL4 - CDS. COIL LEAK,2020-08-25,2020-09-04,NO,MCG
10000349,FSEC02710DXDNR1,,NOMCG00001,IN07,SR1 - TO CHECK THE UNIT STATUS.,2023-07-19,,NO,MCG
10000416,FSEC15000CWDFR0,lop alarm,AHREL00001,IN04,SL6 - LEAK THROUGH LP SWITCH,2024-07-16,2024-10-09,AH,REL
10000429,FSEC03510DXDNR2,IOC communication issue ,MUCMA00002,IN02,BM1 - BMS COMMUNICATION FAIL.,2022-11-30,2022-12-03,MU,CMA
10000494,FSEC04310DXDNR1,pac 2 lp alram,BAALT00002,IN11,CO1 - COMMISSIONING OF UNITS ON SITE.,2022-08-10,2022-09-08,BA,ALT
10000494,FSEC04310DXDNR1,pac 1 drain pump not working,BAALT00002,IN11,DP3 - DRAIN PUMP NOT WORKING,2023-07-25,2023-08-17,BA,ALT
10000494,FSEC04310DXDNR1,pac 1 no cooling ,BAALT00006,IN11,SR1 - TO CHECK THE UNIT STATUS.,2024-11-18,2024-12-11,BA,ALT
10000495,FSEC04310DXDNR1,Pac 2 compressor not working ,BAALT00002,IN11,CO1 - COMP. TAKING HIGH AMPHERE.,2023-08-09,2023-09-05,BA,ALT
10000495,FSEC04310DXDNR1,pac 1 phase fail,BAALT00002,IN11,SR1 - TO CHECK THE UNIT STATUS.,2023-10-04,2023-11-09,BA,ALT
10000495,FSEC04310DXDNR1,pac 2 phase fail,BAALT00006,IN11,K08 - SMPS FAILURE,2024-08-09,2024-09-14,BA,ALT
10000498,FSEC03510DXUPR1,Drain pump not working,MUQUI00002,IN02,BO1 -  BLOWER INTERNAL SOUND.,2023-04-10,2023-04-15,MU,QUI
10000498,FSEC03510DXUPR1,Drain pump not working,MUQUI00002,IN02,DP3 - DRAIN PUMP NOT WORKING,2024-07-10,2024-08-02,MU,QUI
10000500,FSEC02710DXUPR1,Drain pump fail,MUQUI00002,IN02,WAT1 - PAC INSIDE WATER ACCUMULATIONN.,2022-05-02,2022-05-16,MU,QUI
10000500,FSEC02710DXUPR1,High pressure alarm ,MUQUI00002,IN02,CF7 - CDS. TRIPPER SWITCH FAULTY.,2022-07-19,2022-08-02,MU,QUI
10000508,FSEC02710DXDNR1,PAC - 2,HYTST00001,IN10,SL1 - COPPER PIPE HAVING OIL TRACE.,2020-11-26,2021-02-02,HY,TST
10000508,FSEC02710DXDNR1,,HYTRA00001,IN10,KO4 - CONTROLLER GOT SHORT CIRCUIT.,2022-02-28,2023-06-15,HY,TRA
10000508,FSEC02710DXDNR1,,HYTRA00001,IN10,SE1 - SEQUENCING PROBLEM.,2024-01-22,2024-01-27,HY,TRA
10000508,FSEC02710DXDNR1,,HYTRA00001,IN10,K07 - BIG CNTRLR OUTPUT CARD FAILURE,2024-01-30,2024-01-31,HY,TRA
10000508,FSEC02710DXDNR1,,HYTRA00001,IN10,BM1 - BMS COMMUNICATION FAIL.,2024-05-07,2024-05-19,HY,TRA
10000546,FSEC03510DXDNR1,,CHIBM00001,IN12,CO2 - COMP. INTERNAL OVER LOAD TRIP.,2020-03-16,2024-03-12,CH,IBM
10000568,FSEC06920DXDNR1,,DEAIR00003,IN05,DA2  - ACTUATOR WIRING PROBLEM,2022-04-28,,DE,AIR
10000568,FSEC06920DXDNR1,,DEAIR00003,IN05,CF1 - CDS. FAN JAM.,2023-09-14,,DE,AIR
10000568,FSEC06920DXDNR1,,DEAIR00003,IN05,EX1 - EXV CHOKE.,2025-01-28,,DE,AIR
10000719,FSEC03510DXDNR1,Pac water leakage,BABHA00003,IN11,SR1 - TO CHECK THE UNIT STATUS.,2020-08-06,2020-08-27,BA,BHA
10000719,FSEC03510DXDNR1,pac 1 lp alram,BABHA00003,IN11,CF1 - CDS. FAN JAM.,2020-08-31,2020-12-10,BA,BHA
10000725,FSEC03610DXDNR1,Low temprature on PAC unit & temp not maintain,PUUBS00002,IN03,C001 - HIGH TEMPERATURE IN DATA CENTER.,2021-08-30,2024-01-02,PU,UBS
10000725,FSEC03610DXDNR1,Water leakage call - Drain pump ,PUUBS00002,IN03,DP3 - DRAIN PUMP NOT WORKING,2024-02-02,2024-04-17,PU,UBS
10000725,FSEC03610DXDNR1,Icon Not Showing ,PUUBS00002,IN03,KO1 - CONTROLLER SCREEN BLANK .,2024-11-29,,PU,UBS
10000729,FSEC03610DXDNR1,i con not showing,PUUBS00002,IN03,C034 - LLS ALARM,2021-08-28,2024-03-10,PU,UBS
10000751,FSECA802ACWDNR1,Low pressure alarm,NOTAT00004,IN07,SL1 - COPPER PIPE HAVING OIL TRACE.,2020-11-07,2021-02-03,NO,TAT
10000751,FSECA802ACWDNR1,,NOTAT00002,IN07,CU2 - CDS. U BEND LEAK.,2022-09-26,,NO,TAT
10000751,FSECA802ACWDNR1,,NOTAT00002,IN07,RH2 - RAHS RECALLIBIRATION.,2023-02-14,,NO,TAT
