Ticket ID,Equipment ID,Material ID,Material Name,Material Type,Material Group,Priority,Client ID,Client Name,Contract Type,Plant Code,Request Date,Approved Date,Billable,Returnable
29324,10004065,AREOTH00014,Capillary Fitting & Charging Pin,ZRAW,OTH,2,PUKIR00001,Kirloskar Oil Engines Ltd,S1( AMC  Comprehensive ),IN03,01-01-2024 14:35,16-04-2024 14:43,No,Yes
29324,10004065,LREGAS00003,Refrigerant Gas R 407 C,ZRAW,GAS,2,PUKIR00001,Kirloskar Oil Engines Ltd,S1( AMC  Comprehensive ),IN03,01-01-2024 14:35,16-04-2024 14:43,No,Yes
29325,10002971,AREOTH00014,Capillary Fitting & Charging Pin,ZRAW,OTH,2,PUBNY00003,Bny Mellon International Oprations India Pvt. Ltd,S1( AMC  Comprehensive ),IN03,01-01-2024 14:36,01-01-2024 15:13,No,Yes
29325,10002971,LREGAS00003,Refrigerant Gas R 407 C,ZRAW,GAS,2,PUBNY00003,Bny Mellon International Oprations India Pvt. Ltd,S1( AMC  Comprehensive ),IN03,01-01-2024 14:36,01-01-2024 15:13,Yes,No
29011,10013205,AECCTR00009,Advance Terminal C 7000,ZRAW,CTR,2,BAARR00003,Arris Group India Pvt Ltd,S1( AMC  Comprehensive ),IN11,01-01-2024 15:58,06-01-2024 15:29,No,Yes
29251,10012032,LREGAS00003,Refrigerant Gas R 407 C,ZRAW,GAS,2,BAEYG00005,E & Y Global Delivery  Services India Pvt Ltd,S4( Visit Charges ),IN11,01-01-2024 16:00,06-01-2024 15:29,Yes,No
28600,10016044,LREGAS00004,Refrigerant Gas R 410,ZRAW,GAS,2,BAISR00001,ISRO Telemetry Tracking and Command Network (ISTRAC),S3( AMC - Comprehensive incl. Consumables ),IN11,01-01-2024 16:21,06-01-2024 15:29,Yes,No
29408,10003233,AREOTH00006,LP KP1 1 Pressure Switch,ZRAW,OTH,2,MUISS00010,Iss Facility Services India Pvt  Ltd,S1( AMC  Comprehensive ),IN02,01-01-2024 18:19,02-01-2024 11:36,No,Yes
29413,10025634,AREOTH00051,Expansion Valve TGEZ 7.5,ZRAW,OTH,2,BALSI00003,LSI India Research & Development India Pvt Ltd,S1( AMC  Comprehensive ),IN11,02-01-2024 10:30,06-01-2024 15:29,No,Yes
29413,10025634,LFT0CU00010,7/8 Collar,ZRAW,OTH,2,BALSI00003,LSI India Research & Development India Pvt Ltd,S1( AMC  Comprehensive ),IN11,02-01-2024 10:32,06-01-2024 15:29,No,No
29413,10025634,LPI0CU00018,7/8 Copper pipe 19guage,ZRAW,OTH,2,BALSI00003,LSI India Research & Development India Pvt Ltd,S1( AMC  Comprehensive ),IN11,02-01-2024 10:33,06-01-2024 15:29,No,No
29413,10025634,LFT0CU00011,5/8 Collar,ZRAW,OTH,2,BALSI00003,LSI India Research & Development India Pvt Ltd,S1( AMC  Comprehensive ),IN11,02-01-2024 10:34,06-01-2024 15:29,No,No
29413,10025634,LPI0CU00019,5/8 Copper pipe 19guage,ZRAW,OTH,2,BALSI00003,LSI India Research & Development India Pvt Ltd,S1( AMC  Comprehensive ),IN11,02-01-2024 10:35,06-01-2024 15:29,No,No
29405,10013190,AECCTR00051,Digix 3 - 0 - 0 - 230V,ZRAW,CTR,2,BANET00005,Netmagic IT Services Pvt Ltd,S3( AMC - Comprehensive incl. Consumables ),IN11,02-01-2024 10:35,06-01-2024 15:30,No,Yes
19030,10001064,AELPUM00003,Drain Pump Small 2.5 Ltr (DE25QCC620),ZRAW,PUMP,2,PUSIE00001,Siemens Industry Software (India) Private Limited,S1( AMC  Comprehensive ),IN03,02-01-2024 11:18,17-04-2024 14:51,No,Yes
29410,10028390,AELPUM00003,Drain Pump Small 2.5 Ltr (DE25QCC620),ZRAW,PUMP,2,PUSIE00001,Siemens Industry Software (India) Private Limited,S1( AMC  Comprehensive ),IN03,02-01-2024 11:26,02-01-2024 17:24,No,Yes
27734,10011002,AELFAN00010,Axial Fan AKSE 500 ( Outdoor ),ZRAW,FAN,2,CHRPP00001,Reliance Projects & Property Management` Services Ltd,S1( AMC  Comprehensive ),IN12,02-01-2024 11:48,02-01-2024 11:50,No,No
29421,10015038,AECCTR00009,Advance Terminal C 7000,ZRAW,CTR,2,CHMPH00001,Mphasis Limited,S1( AMC  Comprehensive ),IN12,02-01-2024 12:04,23-01-2024 10:55,No,Yes
27064,10017490,AELFAN00010,Axial Fan AKSE 500 ( Outdoor ),ZRAW,FAN,2,CHCIT00003,Citi Bank NA,S1( AMC  Comprehensive ),IN12,02-01-2024 12:15,02-01-2024 12:18,No,No
29272,10015216,AECCTR00055,Analog out put Fl-SC,ZRAW,CTR,2,CHFOX00001,Foxconn Hon Hai Technology India Mega Development Pvt Ltd,S1( AMC  Comprehensive ),IN12,02-01-2024 12:16,02-01-2024 15:40,No,No
29272,10015216,AECCTR00056,Analog In put Fl-SC,ZRAW,CTR,2,CHFOX00001,Foxconn Hon Hai Technology India Mega Development Pvt Ltd,S1( AMC  Comprehensive ),IN12,02-01-2024 12:22,02-01-2024 15:40,No,No
